Provider,Model,Input_Per_1M,Output_Per_1M,Context_Tokens,Region,OpenAI_Compatible,Best_For,Notes
OpenAI,GPT-5.2 Pro,21.00,168.00,200K,USA,Yes,Hardest reasoning,Premium tier
OpenAI,GPT-5.2,1.75,14.00,200K,USA,Yes,Coding agents,New flagship
OpenAI,GPT-5,1.25,10.00,128K,USA,Yes,General purpose,Previous flagship
OpenAI,GPT-5 Mini,0.25,2.00,200K,USA,Yes,Fast affordable,Budget option
OpenAI,GPT-5 Nano,0.05,0.40,128K,USA,Yes,High-volume simple,Entry level
OpenAI,o4-mini,1.10,4.40,200K,USA,Yes,Reasoning value,Mid-tier reasoning
OpenAI,o3,2.00,8.00,200K,USA,Yes,Mid-tier reasoning,Standard reasoning
OpenAI,o3-pro,20.00,80.00,200K,USA,Yes,Strong reasoning,Premium reasoning
OpenAI,o1,15.00,60.00,200K,USA,Yes,Legacy reasoning,First reasoning model
OpenAI,GPT-4o,2.50,10.00,128K,USA,Yes,Current flagship,Widely used
OpenAI,GPT-4o Mini,0.15,0.60,128K,USA,Yes,Best value current,Fast and cheap
Anthropic,Claude Opus 4.6,5.00,25.00,200K,USA,No,Most capable,Top tier
Anthropic,Claude Sonnet 4.6,3.00,15.00,200K,USA,No,Best coding,Best for code
Anthropic,Claude Haiku 4.5,1.00,5.00,200K,USA,No,Fast cheap,Speed focus
Anthropic,Claude 3.5 Sonnet,3.00,15.00,200K,USA,No,Coding excellent,Previous gen
Anthropic,Claude 3 Opus,15.00,75.00,200K,USA,No,Legacy premium,Older flagship
Anthropic,Claude 3 Haiku,0.25,1.25,200K,USA,No,Legacy fast,Older budget
Google,Gemini 2.5 Pro,1.25,10.00,2M,USA,Yes,Document analysis,2M context
Google,Gemini 3.1 Pro Preview,2.00,12.00,2M,USA,Yes,Advanced reasoning,Preview model
Google,Gemini 2.5 Flash,0.30,2.50,1M,USA,Yes,Fast balanced,Good value
Google,Gemini 3.1 Flash-Lite,0.25,1.50,1M,USA,Yes,Best value,86.9% GPQA
Google,Gemini 2.0 Flash,0.15,0.60,1M,USA,Yes,General tasks,Free tier
Google,Gemini 2.0 Flash-Lite,0.075,0.30,1M,USA,Yes,Cheapest mainstream,Lowest cost
Google,Gemini 2.5 Flash-Lite,0.10,0.40,1M,USA,Yes,New best value,Updated Flash
DeepSeek,DeepSeek-V3.2,0.28,0.42,128K,China,Yes,Best cost performance,90% cache discount
DeepSeek,DeepSeek-V3,0.27,1.10,128K,China,Yes,General purpose,MoE architecture
DeepSeek,DeepSeek-R1,0.55,2.19,128K,China,Yes,o1-class reasoning,Advanced reasoning
MiniMax,MiniMax-Text-01,0.50,1.50,1M,China,Yes,Alternative reasoning,1M context
MiniMax,MiniMax M2,0.50,1.50,1M,China,Yes,General purpose,IPO filed
MiniMax,MiniMax M2.5,0.50,1.50,1M,China,Yes,Cheap meter,M2.5 version
Mistral AI,Mistral Nemo,0.02,0.04,128K,Europe,Yes,Cheapest capable,Lowest price
Mistral AI,Mistral Small 3.1,0.03,0.11,128K,Europe,Yes,Best value overall,Quality/price
Mistral AI,Ministral 3B,0.04,0.04,128K,Europe,Yes,Edge mobile,Small model
Mistral AI,Ministral 8B,0.10,0.10,128K,Europe,Yes,Lightweight tasks,Medium small
Mistral AI,Codestral,0.30,0.90,128K,Europe,Yes,Code specialist,Code focused
Mistral AI,Mistral Medium 3,0.40,2.00,128K,Europe,Yes,Balanced performance,Mid-tier
Mistral AI,Mistral Large 3,0.50,1.50,128K,Europe,Yes,Complex reasoning,Flagship
Mistral AI,Devstral,0.10,0.30,128K,Europe,Yes,Agentic coding,Coding agent
Mistral AI,Magistral Small,0.50,1.50,128K,Europe,Yes,Reasoning small,Reasoning
Mistral AI,Magistral Medium,2.00,5.00,128K,Europe,Yes,Advanced reasoning,Reasoning+
xAI,Grok 4,3.00,15.00,256K,USA,Yes,Premium reasoning,Flagship
xAI,Grok 3,2.00,10.00,128K,USA,Yes,General tasks,Standard
xAI,Grok 4.1 Fast,0.20,0.50,2M,USA,Yes,2M context fast,Best context
xAI,Grok 3 Mini,0.10,0.30,128K,USA,Yes,Budget option,Entry level
Cohere,Command A,2.50,10.00,256K,USA,Yes,Enterprise,Enterprise focus
Cohere,Command R+,2.50,10.00,128K,USA,Yes,RAG long context,RAG specialist
Cohere,Command R,0.15,0.60,128K,USA,Yes,Balanced,General RAG
Cohere,Command R7B,0.15,0.0375,128K,USA,Yes,Ultra-cheap,Cheapest RAG
Alibaba,Qwen3-235B-A22B,0.136,0.544,128K,China,Yes,Flagship best value,Best Chinese value
Alibaba,Qwen3-Coder-30B,0.15,0.60,128K,China,Yes,Code generation,Coding focus
Alibaba,Qwen3-32B,0.20,0.80,128K,China,Yes,Balanced,Mid-tier
Alibaba,Qwen-Plus,0.50,1.50,128K,China,Yes,General purpose,Standard
Alibaba,Qwen-Turbo,0.20,0.60,128K,China,Yes,Fast,Speed optimized
Alibaba,Qwen-Max,2.00,6.00,128K,China,Yes,Premium,Flagship
Alibaba,Qwen-Math,0.50,1.50,-,China,Yes,Math specialist,Mathematics
Alibaba,Qwen-Long,0.10,0.40,10M,China,Yes,Document analysis,10M context
Alibaba,Qwen-VL,0.50,1.50,128K,China,Yes,Vision-language,Multimodal
ByteDance,Seed 2.0 Pro,0.47,2.37,128K,China,Yes,Frontier reasoning,Best benchmarks
ByteDance,Seed 2.0 Lite,0.20,1.00,128K,China,Yes,General production,Production
ByteDance,Seed 2.0 Mini,0.05,0.25,128K,China,Yes,High-throughput,Cheapest fast
ByteDance,Seed 2.0 Code,0.30,1.20,128K,China,Yes,Code specialist,Coding
Zhipu AI,GLM-5,7.00,14.00,2M,China,Yes,Flagship 744B,Massive model
Zhipu AI,GLM-4.7,3.00,15.00,128K,China,Yes,Coding specialist,Code focus
Zhipu AI,GLM-4.6,2.37,11.06,128K,China,Yes,General purpose,Standard
Zhipu AI,GLM-4,4.00,8.00,128K,China,Yes,Previous gen,Older
Zhipu AI,GLM-4-Flash,0.50,1.00,128K,China,Yes,Fast,Speed
Zhipu AI,GLM-4-Air,1.00,2.00,128K,China,Yes,Balanced,Mid-tier
Baidu,Ernie 4.5-300B-A47B,0.224,0.88,128K,China,No,Flagship,Large model
Baidu,Ernie 4.5-VL-424B,0.336,1.00,128K,China,No,Vision-language,Multimodal
Baidu,Ernie 4.5-21B-A3B,0.056,0.224,128K,China,No,Small fast,Small efficient
Baidu,Ernie 4.5-VL-28B,0.112,0.448,128K,China,No,Vision small,Small vision
Baidu,Ernie 4.0-Turbo,4.20,8.40,8K,China,No,Previous gen,Older
Baidu,Ernie 4.0-8K,4.20,8.40,8K,China,No,Standard,Standard older
Baidu,Ernie Speed,0.56,0.56,128K,China,No,Fast,Speed focus
Baidu,Ernie Speed Pro-128K,0.08,0.08,128K,China,No,Cheapest,Lowest cost
Baidu,Ernie Novel-8K,5.60,5.60,8K,China,No,Creative writing,Creative
Moonshot AI,Kimi K2.5,0.50,1.50,128K,China,Yes,100 parallel agents,Agentic
Moonshot AI,Kimi K2,0.50,1.50,128K,China,Yes,Coding champion,Coding
Moonshot AI,Kimi K1.5,0.50,1.50,128K,China,Yes,Long context,Context
Tencent,Hunyuan Pro,2.00,6.00,256K,China,No,Flagship,WeChat ecosystem
Tencent,Hunyuan Standard,1.00,3.00,128K,China,No,General,Standard
Tencent,Hunyuan Lite,0.30,1.00,128K,China,No,Fast,Speed
Baichuan,Baichuan 4,2.00,6.00,128K,China,No,General,Limited access
Baichuan,Baichuan 3,1.00,3.00,128K,China,No,Previous,Older
Baichuan,Baixiaoying,0.00,0.00,-,China,No,Consumer app,Free app
