# V4 precision-audit wave manifest — generated, do not hand-edit
# regenerate: python scripts/plan_v4_waves.py
#wave	tier	priority	loc	path
P1	DEEP	12	3733	orchestrator/generators/website_generator.py
P1	DEEP	10	1903	orchestrator/testing/first_generator.py
P1	DEEP	10	1264	orchestrator/engine.py
P1	DEEP	10	898	orchestrator/entrypoints/cli_dispatch.py
P1	DEEP	9	3019	orchestrator/ide_backend/ide_orchestrator_server.py
P1	DEEP	9	718	orchestrator/infrastructure/streaming.py
P1	DEEP	9	641	orchestrator/infrastructure/llm_client.py
P1	DEEP	8	1610	orchestrator/api_server.py
P2	DEEP	8	1530	orchestrator/integrations/slack_integration.py
P2	DEEP	8	1389	orchestrator/models.py
P2	DEEP	8	1239	orchestrator/nash/infrastructure_v2.py
P2	DEEP	8	853	orchestrator/domain/ports.py
P2	DEEP	8	789	orchestrator/infrastructure/caching.py
P2	DEEP	8	718	orchestrator/streaming.py
P2	DEEP	8	496	orchestrator/operations/diagnostics.py
P2	DEEP	8	246	orchestrator/cli.py
P2	DEEP	8	245	orchestrator/model_selector.py
P2	DEEP	7	1260	orchestrator/architecture_rules.py
P2	DEEP	7	1122	orchestrator/unified_events/core.py
P2	DEEP	7	1043	orchestrator/events/ab_testing.py
P2	DEEP	7	1029	orchestrator/engine_core/container.py
P2	DEEP	7	955	orchestrator/transfer_learning.py
P2	DEEP	7	943	orchestrator/codebase/context.py
P2	DEEP	7	942	orchestrator/state_mgmt/telemetry_store.py
P3	DEEP	7	826	orchestrator/analysis/leaderboard.py
P3	DEEP	7	820	orchestrator/leaderboard.py
P3	DEEP	7	797	orchestrator/infrastructure/cache_optimizer.py
P3	DEEP	7	738	orchestrator/meta/orchestrator.py
P3	DEEP	7	713	orchestrator/operations/gradual_rollout.py
P3	DEEP	7	712	orchestrator/gradual_rollout.py
P3	DEEP	7	664	orchestrator/infrastructure/state.py
P3	DEEP	7	658	orchestrator/connectors/connectors.py
P3	DEEP	7	652	orchestrator/cross_project_learning.py
P3	DEEP	7	652	orchestrator/learning/cross_project_learning.py
P3	DEEP	7	639	orchestrator/analysis/projections.py
P3	DEEP	7	636	orchestrator/projections.py
P3	DEEP	7	620	orchestrator/cost.py
P3	DEEP	7	606	orchestrator/application/project_runner.py
P3	DEEP	7	589	orchestrator/safety/guardrails.py
P3	DEEP	7	573	orchestrator/learning/learning_aggregator.py
P3	DEEP	7	572	orchestrator/cli_nash.py
P3	DEEP	7	572	orchestrator/quality/benchmark_suite.py
P3	DEEP	7	570	orchestrator/meta/performance.py
P3	DEEP	7	506	orchestrator/cost_optimization/batch_client.py
P3	DEEP	7	435	orchestrator/application/task_executor.py
P3	DEEP	7	408	orchestrator/ide_backend/session_manager.py
P3	DEEP	7	330	orchestrator/cli_website.py
P3	DEEP	7	234	orchestrator/infrastructure/database_manager.py
P3	DEEP	7	142	orchestrator/commands/center.py
P4	DEEP	6	2558	orchestrator/project_mgmt/assembler.py
P4	DEEP	6	1825	orchestrator/operations/issue_tracking.py
P4	DEEP	6	1025	orchestrator/safety/security_templates.py
P4	DEEP	6	982	orchestrator/output_writer.py
P4	DEEP	6	889	orchestrator/domain/model_registry.py
P4	DEEP	6	875	orchestrator/knowledge_graph.py
P4	DEEP	6	769	orchestrator/hitl_workflow.py
P4	DEEP	6	653	orchestrator/integrations/mcp_server.py
P4	DEEP	6	564	orchestrator/checkpoints.py
P4	DEEP	6	548	orchestrator/integrations/tenancy.py
P4	DEEP	6	548	orchestrator/tenancy.py
P4	DEEP	6	489	orchestrator/ara_integration.py
P4	DEEP	6	489	orchestrator/reasoning/ara_integration.py
P4	DEEP	6	480	orchestrator/codebase/writer.py
P4	DEEP	6	476	orchestrator/operations/canary_deployment.py
P4	DEEP	6	465	orchestrator/infrastructure/bm25_search.py
P4	DEEP	6	462	orchestrator/concurrency_controller.py
P4	DEEP	6	452	orchestrator/dashboard_core/mission_control.py
P4	DEEP	6	445	orchestrator/integrations/openrouter_ab_testing.py
P5	DEEP	6	441	orchestrator/application/critique_cycle.py
P5	DEEP	6	440	orchestrator/kanban/board.py
P5	DEEP	6	432	orchestrator/infrastructure/image_client.py
P5	DEEP	6	410	orchestrator/events/async_event_store.py
P5	DEEP	6	407	orchestrator/infrastructure/verification_checks.py
P5	DEEP	6	396	orchestrator/infrastructure/secure_cache.py
P5	DEEP	6	380	orchestrator/pattern_learner/pattern_store.py
P5	DEEP	6	339	orchestrator/cost_optimization/pricing_cache.py
P5	DEEP	6	314	orchestrator/supervisor/store.py
